"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R6,R4,R8";"R_0805_2012Metric";3;"100k";;;
2;"U3";"DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm";1;"MCP73831-2-MC";;;
3;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
4;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
5;"U4";"Wio SX1262";1;"Wio-SX1262";;;
6;"R7";"R_0805_2012Metric";1;"2k";;;
7;"SW1,SW3,SW14,SW12,SW9,SW2,SW17,SW13,SW10,SW7,SW16,SW6,SW8,SW4,SW11,SW5,SW15";"SW_SPST_Omron_B3FS-100xP";17;"SW_Push";;;
8;"D1";"D_SOD-123";1;"D_Schottky";;;
9;"R3,R2";"R_0805_2012Metric";2;"5.1k";;;
10;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
11;"C5,C4,C1";"C_0805_2012Metric";3;"10uF";;;
12;"Q1,Q3";"SOT-23";2;"Q_PMOS_GSD";;;
13;"R1";"R_0805_2012Metric";1;"10k";;;
14;"C6,C2";"C_0805_2012Metric";2;"0.1uF";;;
15;"C3";"C_0805_2012Metric";1;"0.1uf";;;
16;"Q2";"SOT-23";1;"2N7002";;;
17;"R5";"R_0805_2012Metric";1;"390k";;;
18;"J2";"Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal";1;"Conn_01x02_Socket";;;
19;"TP2,TP4,TP5,TP7,TP8,TP1,TP6,TP3";"TestPoint_Pad_D1.0mm";8;"TestPoint";;;
